2025-08-13 21:10:25 | WARNING | [features.asr.paraformer] | paraformer请求失败:No api key provided. You can set by dashscope.api_key = your_api_key in code, or you can set it via environment variable DASHSCOPE_API_KEY= your_api_key. You can store your api key to a file, and use dashscope.api_key_file_path=api_key_file_path in code, or you can set api key file path via environment variable DASHSCOPE_API_KEY_FILE_PATH, You can call save_api_key to api_key_file_path or default path(~/.dashscope/api_key).
2025-08-13 21:10:26 | WARNING | [__main__] | Running in console mode. GUI frameworks not available
2025-08-13 21:11:13 | WARNING | [features.asr.paraformer] | paraformer请求失败:No api key provided. You can set by dashscope.api_key = your_api_key in code, or you can set it via environment variable DASHSCOPE_API_KEY= your_api_key. You can store your api key to a file, and use dashscope.api_key_file_path=api_key_file_path in code, or you can set api key file path via environment variable DASHSCOPE_API_KEY_FILE_PATH, You can call save_api_key to api_key_file_path or default path(~/.dashscope/api_key).
2025-08-13 21:11:18 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:11:23 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:11:24 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:11:27 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:11:30 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:11:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:12:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:13:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:14:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:15:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:16:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:17:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:18:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:19:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:20:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:21:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:22:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:23:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:24:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:25:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:26:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:27:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:28:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:29:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:30:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:31:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:32:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:33:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:34:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:35:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:36:36 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:36:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:37:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:38:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:39:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:40:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:41:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:42:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:43:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:44:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:45:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:46:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:47:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:48:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:49:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:50:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:51:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:52:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:53:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:54:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:55:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:56:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:57:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
2025-08-13 21:58:57 | WARNING | [features.asr.paraformer] | paraformer请求失败:Speech recognition has been called.
